alias,date,rating
DOMAIN,Mar 2011,25
DOMAIN,Apr 2011,55
DOMAIN,May 2011,64
DOMAIN,Jun 2011,72
DOMAIN,Jul 2011,77
DOMAIN,Aug 2011,73
DOMAIN,Sep 2011,74
DOMAIN,Oct 2011,75
DOMAIN,Nov 2011,75
DOMAIN,Dec 2011,76
DOMAIN,Jan 2012,77
300,Mar 2011,28
300,Apr 2011,39
300,May 2011,50
300,Jun 2011,56
300,Jul 2011,65
300,Aug 2011,67
300,Sep 2011,67
300,Oct 2011,67
300,Nov 2011,68
300,Dec 2011,68
300,Jan 2012,65
COLE,Mar 2011,48
COLE,Apr 2011,55
COLE,May 2011,60
COLE,Jun 2011,67
COLE,Jul 2011,77
COLE,Aug 2011,79
COLE,Sep 2011,79
COLE,Oct 2011,79
COLE,Nov 2011,80
COLE,Dec 2011,79
COLE,Jan 2012,82
